ID_Trecho,Estado,Consumo_Mensal_m3,Variação_Consumo_%,Temperatura_Média_°C,Pressão_na_Rede_bar,Idade_Duto_anos,Histórico_Falhas_12M,Manutenções_12M,Tipo_Cliente,Múltiplas_Previsões,Contexto_Explicativo,Código_Auxiliar,Perguntas_Reflexivas,Estímulo_Direcional
66,Pará,2678,-6.48,25.98,4.39,8,1,2,Comercial,Previsão 1: 10953.85 m³ | Previsão 2: 5670.76 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.9°C e variação de consumo de 13.34%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
67,Amapá,4242,-5.84,26.5,2.42,38,1,2,Industrial,Previsão 1: 12499.60 m³ | Previsão 2: 7099.06 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.4°C e variação de consumo de -0.98%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
68,Mato Grosso,5636,-0.43,31.16,4.83,12,1,0,Industrial,Previsão 1: 13980.54 m³ | Previsão 2: 7051.40 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.3°C e variação de consumo de 3.40%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
69,Mato Grosso,2059,-1.55,23.76,3.71,24,1,1,Residencial,Previsão 1: 6906.88 m³ | Previsão 2: 5365.50 m³,A demanda de gás nesta região é influenciada pela temperatura média de 26.5°C e variação de consumo de -9.99%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
70,Roraima,7668,14.83,22.77,2.93,28,2,1,Industrial,Previsão 1: 9720.67 m³ | Previsão 2: 10648.41 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.7°C e variação de consumo de 14.74%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
71,Mato Grosso,4157,-9.72,21.21,2.97,8,2,1,Industrial,Previsão 1: 5657.09 m³ | Previsão 2: 12755.28 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.3°C e variação de consumo de -8.05%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
72,Roraima,6915,-14.46,26.42,1.33,28,1,2,Residencial,Previsão 1: 9532.89 m³ | Previsão 2: 10243.90 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.0°C e variação de consumo de 13.28%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
73,Mato Grosso,3693,-0.18,30.33,1.37,36,3,2,Comercial,Previsão 1: 9407.63 m³ | Previsão 2: 9007.63 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.4°C e variação de consumo de 4.49%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
74,Pará,4627,-9.64,20.87,3.41,26,0,2,Comercial,Previsão 1: 10596.40 m³ | Previsão 2: 6552.40 m³,A demanda de gás nesta região é influenciada pela temperatura média de 24.1°C e variação de consumo de 3.23%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
75,Roraima,6450,-4.01,33.73,3.21,8,0,0,Comercial,Previsão 1: 6819.28 m³ | Previsão 2: 13617.86 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.9°C e variação de consumo de 0.38%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
76,Amazonas,2663,7.33,26.64,1.85,28,3,2,Residencial,Previsão 1: 14461.15 m³ | Previsão 2: 8733.09 m³,A demanda de gás nesta região é influenciada pela temperatura média de 25.4°C e variação de consumo de -8.08%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
77,Rondônia,6592,6.63,23.6,4.78,28,1,0,Industrial,Previsão 1: 7707.45 m³ | Previsão 2: 11440.00 m³,A demanda de gás nesta região é influenciada pela temperatura média de 21.4°C e variação de consumo de -9.70%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
78,Acre,8392,-5.76,21.41,4.13,37,2,1,Comercial,Previsão 1: 9087.34 m³ | Previsão 2: 5253.86 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.8°C e variação de consumo de -8.39%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
79,Mato Grosso,2306,1.28,22.74,1.45,41,0,2,Comercial,Previsão 1: 6561.53 m³ | Previsão 2: 12159.72 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.1°C e variação de consumo de -9.41%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
80,Amapá,7776,0.26,34.02,4.72,36,4,0,Residencial,Previsão 1: 11589.24 m³ | Previsão 2: 5270.96 m³,A demanda de gás nesta região é influenciada pela temperatura média de 34.3°C e variação de consumo de 8.39%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
81,Mato Grosso,6864,4.09,29.57,4.9,27,4,0,Comercial,Previsão 1: 7219.72 m³ | Previsão 2: 7310.75 m³,A demanda de gás nesta região é influenciada pela temperatura média de 26.7°C e variação de consumo de -4.50%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
82,Amapá,8526,-7.49,27.75,4.98,17,3,2,Residencial,Previsão 1: 11718.93 m³ | Previsão 2: 5197.11 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.8°C e variação de consumo de -13.26%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
83,Rondônia,9901,2.7,29.86,1.22,9,1,1,Industrial,Previsão 1: 6041.09 m³ | Previsão 2: 12999.16 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.1°C e variação de consumo de 14.07%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
84,Rondônia,6575,14.37,26.54,3.95,33,0,1,Residencial,Previsão 1: 6785.45 m³ | Previsão 2: 11527.46 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.1°C e variação de consumo de 11.51%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
85,Rondônia,6530,-0.4,30.95,3.18,20,1,1,Residencial,Previsão 1: 7381.83 m³ | Previsão 2: 5994.41 m³,A demanda de gás nesta região é influenciada pela temperatura média de 31.0°C e variação de consumo de 12.83%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
86,Amapá,5413,12.18,20.72,3.82,13,0,0,Residencial,Previsão 1: 7431.72 m³ | Previsão 2: 12222.67 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.1°C e variação de consumo de 14.85%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
87,Mato Grosso,4748,-1.97,28.49,4.87,28,3,0,Residencial,Previsão 1: 13556.96 m³ | Previsão 2: 13302.20 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.9°C e variação de consumo de -9.78%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
88,Rondônia,1663,-4.5,22.38,3.75,48,3,0,Industrial,Previsão 1: 8971.84 m³ | Previsão 2: 11680.85 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.4°C e variação de consumo de -3.11%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
89,Pará,2998,4.35,21.8,4.35,29,4,0,Industrial,Previsão 1: 7049.84 m³ | Previsão 2: 7931.48 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.7°C e variação de consumo de 7.75%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
90,Roraima,8994,5.07,25.13,4.47,13,1,1,Comercial,Previsão 1: 13963.36 m³ | Previsão 2: 5130.02 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.7°C e variação de consumo de 5.88%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
91,Amapá,2495,10.93,21.38,4.35,46,4,2,Industrial,Previsão 1: 5855.09 m³ | Previsão 2: 7078.86 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.3°C e variação de consumo de -10.38%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
92,Amapá,4304,-8.09,21.41,2.7,35,1,0,Industrial,Previsão 1: 5265.32 m³ | Previsão 2: 6814.35 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.3°C e variação de consumo de 9.47%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
93,Mato Grosso,4763,-0.02,24.67,1.89,6,4,0,Comercial,Previsão 1: 10830.42 m³ | Previsão 2: 9214.25 m³,A demanda de gás nesta região é influenciada pela temperatura média de 34.8°C e variação de consumo de -8.27%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
94,Amapá,6232,2.16,34.69,2.59,18,2,1,Industrial,Previsão 1: 13926.72 m³ | Previsão 2: 13174.44 m³,A demanda de gás nesta região é influenciada pela temperatura média de 34.2°C e variação de consumo de -8.29%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
95,Amapá,2853,8.06,22.63,4.57,5,2,2,Residencial,Previsão 1: 8418.17 m³ | Previsão 2: 7594.23 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.6°C e variação de consumo de 1.11%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
96,Rondônia,7585,-13.69,20.26,1.59,47,2,2,Residencial,Previsão 1: 8796.92 m³ | Previsão 2: 10902.95 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.6°C e variação de consumo de 2.79%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
97,Mato Grosso,2291,14.84,31.45,3.05,25,2,1,Comercial,Previsão 1: 7680.64 m³ | Previsão 2: 11241.49 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.9°C e variação de consumo de 2.40%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
98,Rondônia,4581,-0.9,32.1,1.93,2,0,1,Comercial,Previsão 1: 9094.12 m³ | Previsão 2: 10520.47 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.7°C e variação de consumo de -12.26%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
99,Roraima,8554,-6.61,25.19,3.33,10,2,2,Comercial,Previsão 1: 9361.27 m³ | Previsão 2: 7944.66 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.5°C e variação de consumo de 11.32%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
100,Roraima,8280,11.5,26.97,4.45,30,3,0,Residencial,Previsão 1: 14484.53 m³ | Previsão 2: 12636.06 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.7°C e variação de consumo de -7.03%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
